tappan,overall-accuracy,accuracy,tree-recall,crop-recall,tree-precision,crop-precision
Tappan19_WV02_20120229_M1BS_1030010011B55E00,0.9395278734826482,0.9509491659651759,0.9107802206278081,0.9750083590969211,0.9848398721101544,0.9494198747044842
Tappan19_WV02_20130117_M1BS_103001001E28E300,0.9159354489665834,0.9284140063294708,0.8770371011059057,0.9713975324683285,0.9566876660794793,0.9289875884706124
Tappan19_WV02_20170126_M1BS_1030010062B12000,0.7122418007723238,0.76303577291837,0.6508330732193948,0.9411443472925295,0.8157214434718187,0.5680799251858779
Tappan19_WV02_20180119_M1BS_103001007A5E8700,0.9464302068494251,0.948308655092753,0.948890782567759,0.9706612854437644,0.9593447748953382,0.940677537311455
Tappan19_WV02_20180430_M1BS_103001007EB3E800,0.9175665680473373,0.9308884938843615,0.8936740455670503,0.9688614536887502,0.9740384809989948,0.899185688653638
Tappan19_WV03_20141227_M1BS_1040010006987400,0.9110877262402423,0.9240827497664806,0.853435166684194,0.9807577751243676,0.9396853131670682,0.9342671557717213
Tappan19_WV03_20160617_M1BS_104001001E3B1600,0.6753223576724896,0.7554754068838845,0.6454541006788831,0.978019504876219,0.9652029811408902,0.35973267698284805
Tappan19_WV03_20181227_M1BS_1040010047CC2A00,0.715789467468584,0.7565274585429037,0.7186843074482251,0.8809961675446556,0.7711325762514245,0.661056871575593
Tappan20_WV02_20110320_M1BS_10300100095E3100,0.9329294811012568,0.9322568371251535,0.9166596908361292,0.9728264112423322,0.9142445500991898,0.9616154441329798
Tappan20_WV02_20130114_M1BS_103001001ECB4300,0.6761186701131645,0.677963243483727,0.6931562674294998,0.6999703431010813,0.5812463537609631,0.9584516554612156
Tappan20_WV02_20130430_M1BS_1030010021920700,0.936440176639273,0.9373191583264022,0.9078975456193857,0.9721047547421172,0.9522675933187884,0.9674268922327376
Tappan20_WV02_20151206_M1BS_103001004D0D9400,0.652426768860713,0.6595053485614675,0.8257558713548063,0.6475379655623401,0.5839267721550088,0.9704144868143556
Tappan20_WV02_20170206_M1BS_103001006405AA00,0.9380555453775432,0.9389354225580764,0.9347802301058654,0.9783705027185359,0.8931875424970551,0.960014106301568
Tappan20_WV02_20180328_M1BS_103001007A20F500,0.9450403031734047,0.9458934140588154,0.9264013579525837,0.9708436370251752,0.9652297814982064,0.964459160993269
Tappan20_WV02_20190127_M1BS_103001008ABC2C00,0.9230363321101417,0.9253162666365924,0.8938762158291333,0.983545221142434,0.8931486040542664,0.9337867358751261
Tappan20_WV03_20141119_M1BS_10400100043B9F00,0.7968275985131555,0.7963044986497608,0.6347163728851892,0.9186800755039114,0.8750239202877034,0.9089076128304274
Tappan21_WV02_20120426_M1BS_1030010018C95F00,0.9275711597012394,0.9332625408959876,0.8902982831184448,0.9731148425876264,0.9516954453724157,0.8871699753840186
Tappan21_WV02_20190119_M1BS_103001008B4CF000,0.6710605249375672,0.7693521655995452,0.8561089274080844,0.9242807243312805,0.8274693799280113,0.07216542013063733
Tappan22_WV02_20101108_M1BS_1030010007046300,0.9090842273820685,0.9288832648219699,0.8457461674705825,0.9790853153971515,0.9751337566686809,0.9618881023359546
