,epoch1_count,epoch2_count,epoch1_percentage,epoch2_percentage,epoch1_percentage_rounded,epoch2_percentage_rounded
other,3004476776,3489304691,0.41792936504746697,0.4524852444044351,41.79,45.25
tree,1975298010,1833412118,0.2747683222893466,0.2377527913933851,27.48,23.78
tree_other,750475800,517485730,0.10439284373336417,0.06710639446844957,10.44,6.71
crop,942049571,1471906653,0.131041179015347,0.1908735695512866,13.1,19.09
crop_other,330977933,301242247,0.046039762559779915,0.0390644222358443,4.6,3.91
tree_crop,96830217,41661046,0.013469297360352916,0.0054025114602565425,1.35,0.54
tree_crop_other,88849989,56409565,0.012359229994342424,0.007315066486342814,1.24,0.73
